Supplier ID,Company Name,Category,Product Description,Micro-Location,Email Address,Phone Number
"CP-SUP-100","Matrix Enterprises","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@matrixenterprises.in","+91 9810928943"
"CP-SUP-101","Nexus Solutions","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@nexussolutions.in","+91 9810468770"
"CP-SUP-102","Apex B2B","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@apexb2b.in","+91 9810631650"
"CP-SUP-103","Prime Logistics","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@primelogistics.in","+91 9810418610"
"CP-SUP-104","Elite Industries","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@eliteindustries.in","+91 9810682306"
"CP-SUP-105","Sovereign Furnishings","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@sovereignfurnishings.in","+91 9810939624"
"CP-SUP-106","Global Wholesale","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@globalwholesale.in","+91 9810980426"
"CP-SUP-107","Pioneer Corp","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@pioneercorp.in","+91 9810210465"
"CP-SUP-108","Vertex Systems","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@vertexsystems.in","+91 9810941131"
"CP-SUP-109","Quantum Traders","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@quantumtraders.in","+91 9810268817"
"CP-SUP-110","CPM Enterprises","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@cpmenterprises.in","+91 9810726604"
"CP-SUP-111","Hans Solutions","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@hanssolutions.in","+91 9810942745"
"CP-SUP-112","Agroha B2B","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@agrohab2b.in","+91 9810275623"
"CP-SUP-113","Aarjav Logistics","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@aarjavlogistics.in","+91 9810517768"
"CP-SUP-114","Anisa Industries","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@anisaindustries.in","+91 9810990791"
"CP-SUP-115","BlueSky Furnishings","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@blueskyfurnishings.in","+91 9810801601"
"CP-SUP-116","Om Wholesale","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@omwholesale.in","+91 9810540988"
"CP-SUP-117","Shanti Corp","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@shanticorp.in","+91 9810648872"
"CP-SUP-118","Vanguard Systems","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@vanguardsystems.in","+91 9810720937"
"CP-SUP-119","Summit Traders","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@summittraders.in","+91 9810301238"
"CP-SUP-120","Matrix Enterprises","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@matrixenterprises.in","+91 9810775825"
"CP-SUP-121","Nexus Solutions","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@nexussolutions.in","+91 9810158827"
"CP-SUP-122","Apex B2B","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@apexb2b.in","+91 9810147182"
"CP-SUP-123","Prime Logistics","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@primelogistics.in","+91 9810272971"
"CP-SUP-124","Elite Industries","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@eliteindustries.in","+91 9810371874"
"CP-SUP-125","Sovereign Furnishings","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@sovereignfurnishings.in","+91 9810354101"
"CP-SUP-126","Global Wholesale","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@globalwholesale.in","+91 9810342678"
"CP-SUP-127","Pioneer Corp","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@pioneercorp.in","+91 9810302781"
"CP-SUP-128","Vertex Systems","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@vertexsystems.in","+91 9810601059"
"CP-SUP-129","Quantum Traders","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@quantumtraders.in","+91 9810829975"
"CP-SUP-130","CPM Enterprises","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@cpmenterprises.in","+91 9810831784"
"CP-SUP-131","Hans Solutions","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@hanssolutions.in","+91 9810729796"
"CP-SUP-132","Agroha B2B","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@agrohab2b.in","+91 9810665845"
"CP-SUP-133","Aarjav Logistics","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@aarjavlogistics.in","+91 9810143498"
"CP-SUP-134","Anisa Industries","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@anisaindustries.in","+91 9810332660"
"CP-SUP-135","BlueSky Furnishings","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@blueskyfurnishings.in","+91 9810382916"
"CP-SUP-136","Om Wholesale","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@omwholesale.in","+91 9810843117"
"CP-SUP-137","Shanti Corp","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@shanticorp.in","+91 9810762771"
"CP-SUP-138","Vanguard Systems","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@vanguardsystems.in","+91 9810778197"
"CP-SUP-139","Summit Traders","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@summittraders.in","+91 9810866090"
"CP-SUP-140","Matrix Enterprises","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@matrixenterprises.in","+91 9810866881"
"CP-SUP-141","Nexus Solutions","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@nexussolutions.in","+91 9810951275"
"CP-SUP-142","Apex B2B","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@apexb2b.in","+91 9810315510"
"CP-SUP-143","Prime Logistics","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@primelogistics.in","+91 9810858475"
"CP-SUP-144","Elite Industries","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@eliteindustries.in","+91 9810316044"
"CP-SUP-145","Sovereign Furnishings","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@sovereignfurnishings.in","+91 9810642959"
"CP-SUP-146","Global Wholesale","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@globalwholesale.in","+91 9810203953"
"CP-SUP-147","Pioneer Corp","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@pioneercorp.in","+91 9810322951"
"CP-SUP-148","Vertex Systems","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@vertexsystems.in","+91 9810481674"
"CP-SUP-149","Quantum Traders","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@quantumtraders.in","+91 9810539758"
"CP-SUP-150","CPM Enterprises","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@cpmenterprises.in","+91 9810106790"
"CP-SUP-151","Hans Solutions","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@hanssolutions.in","+91 9810218894"
"CP-SUP-152","Agroha B2B","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@agrohab2b.in","+91 9810895914"
"CP-SUP-153","Aarjav Logistics","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@aarjavlogistics.in","+91 9810948451"
"CP-SUP-154","Anisa Industries","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@anisaindustries.in","+91 9810631210"
"CP-SUP-155","BlueSky Furnishings","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@blueskyfurnishings.in","+91 9810584224"
"CP-SUP-156","Om Wholesale","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@omwholesale.in","+91 9810337110"
"CP-SUP-157","Shanti Corp","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","IMT Manesar","sales@shanticorp.in","+91 9810280539"
"CP-SUP-158","Vanguard Systems","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Sohna Road","sales@vanguardsystems.in","+91 9810624847"
"CP-SUP-159","Summit Traders","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Sector 44","sales@summittraders.in","+91 9810754696"
"CP-SUP-160","Matrix Enterprises","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 29","sales@matrixenterprises.in","+91 9810685351"
"CP-SUP-161","Nexus Solutions","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Golf Course Road","sales@nexussolutions.in","+91 9810170555"
"CP-SUP-162","Apex B2B","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","DLF Phase 3","sales@apexb2b.in","+91 9810793416"
"CP-SUP-163","Prime Logistics","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Pace City I","sales@primelogistics.in","+91 9810600948"
"CP-SUP-164","Elite Industries","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Sector 37","sales@eliteindustries.in","+91 9810340734"
"CP-SUP-165","Sovereign Furnishings","Office Supplies","Whiteboards, markers, sticky notes, desk organizers.","Noida Sector 63","sales@sovereignfurnishings.in","+91 9810136689"
"CP-SUP-166","Global Wholesale","Pantry Consumables","Commercial housekeeping chemicals, hand wash, tissue rolls, trash bags.","Okhla Industrial Area","sales@globalwholesale.in","+91 9810321155"
"CP-SUP-167","Pioneer Corp","Curtains & Carpets","Fire-retardant blackout curtains, automated vertical window blinds.","Faridabad NIT","sales@pioneercorp.in","+91 9810363198"
"CP-SUP-168","Vertex Systems","Office Furniture","Modular workstations, ergonomic mesh chairs, meeting tables.","Udyog Vihar Phase 4","sales@vertexsystems.in","+91 9810563380"
